time,open,high,low,close,volume
2018-03-06 03:00:00,1.23508,1.2355399999999999,1.23466,1.23496,1034
2018-03-06 04:00:00,1.23498,1.23514,1.2346700000000002,1.2347,716
2018-03-06 05:00:00,1.2347299999999999,1.23518,1.23431,1.23494,1133
2018-03-06 06:00:00,1.23494,1.23556,1.2334399999999999,1.2339,2262
2018-03-06 07:00:00,1.2339200000000001,1.23504,1.23284,1.23332,3334
2018-03-06 08:00:00,1.2333399999999999,1.23458,1.23302,1.2338799999999999,2978
2018-03-06 09:00:00,1.2339200000000001,1.23452,1.2332100000000001,1.23442,2424
2018-03-06 10:00:00,1.2344600000000001,1.23519,1.2334200000000002,1.2346700000000002,2078
2018-03-06 11:00:00,1.23468,1.24004,1.23434,1.2397200000000002,6482
2018-03-06 12:00:00,1.23977,1.24142,1.23902,1.2409,4021
2018-03-06 13:00:00,1.24094,1.24118,1.2395399999999999,1.24068,3149
2018-03-06 14:00:00,1.24071,1.24108,1.23864,1.2395100000000001,4645
2018-03-06 15:00:00,1.2395200000000002,1.24084,1.23942,1.2398,4894
2018-03-06 16:00:00,1.23983,1.24205,1.2397,1.24157,4659
2018-03-06 17:00:00,1.2415399999999999,1.24173,1.23888,1.23936,3136
2018-03-06 18:00:00,1.23936,1.24095,1.2392,1.24062,2650
2018-03-06 19:00:00,1.24058,1.24118,1.24007,1.2405700000000002,1260
2018-03-06 20:00:00,1.2405899999999999,1.24076,1.23996,1.2403,1480
2018-03-06 21:00:00,1.24025,1.24091,1.24024,1.2405,726
2018-03-06 22:00:00,1.2407,1.2424600000000001,1.2405899999999999,1.24216,2361
2018-03-06 23:00:00,1.24216,1.24288,1.24126,1.24156,3334
2018-03-07 00:00:00,1.2415200000000002,1.24266,1.24128,1.24175,3810
2018-03-07 01:00:00,1.24176,1.2421,1.24104,1.24137,2816
2018-03-07 02:00:00,1.24138,1.24184,1.24104,1.24167,1581
2018-03-07 03:00:00,1.24163,1.24216,1.24111,1.24193,1660
2018-03-07 04:00:00,1.2419200000000001,1.24214,1.24146,1.24153,1036
2018-03-07 05:00:00,1.24156,1.24231,1.2415200000000002,1.2419200000000001,1259
2018-03-07 06:00:00,1.2419,1.24336,1.2418,1.2426,2954
2018-03-07 07:00:00,1.2426,1.2427700000000002,1.24074,1.24092,3443
2018-03-07 08:00:00,1.24092,1.2418200000000001,1.24041,1.24102,3623
2018-03-07 09:00:00,1.2409999999999999,1.24275,1.24058,1.2423600000000001,2803
2018-03-07 10:00:00,1.24235,1.24464,1.2421200000000001,1.24348,3206
2018-03-07 11:00:00,1.2435200000000002,1.2437,1.24076,1.24076,2145
2018-03-07 12:00:00,1.24071,1.24186,1.2397799999999999,1.24173,2754
2018-03-07 13:00:00,1.2417200000000002,1.24244,1.24029,1.2414399999999999,4839
2018-03-07 14:00:00,1.24146,1.24224,1.2406,1.2409999999999999,4033
2018-03-07 15:00:00,1.24099,1.2416399999999999,1.2388,1.24029,5940
2018-03-07 16:00:00,1.2402799999999998,1.24044,1.2384899999999999,1.2396399999999999,4241
2018-03-07 17:00:00,1.23958,1.24064,1.2391,1.24004,2864
2018-03-07 18:00:00,1.24007,1.2414100000000001,1.23968,1.24084,1585
2018-03-07 19:00:00,1.24081,1.24126,1.24023,1.24048,1576
2018-03-07 20:00:00,1.24048,1.24138,1.24021,1.24128,1498
2018-03-07 21:00:00,1.24126,1.24159,1.2410299999999999,1.24114,666
2018-03-07 22:00:00,1.24114,1.24128,1.2409299999999999,1.2410700000000001,552
2018-03-07 23:00:00,1.2409999999999999,1.24158,1.24096,1.2412299999999998,582
2018-03-08 00:00:00,1.24125,1.24153,1.2406700000000002,1.24076,1633
2018-03-08 01:00:00,1.24082,1.24095,1.2396,1.24006,1535
2018-03-08 02:00:00,1.2400200000000001,1.24064,1.23994,1.2402,1456
2018-03-08 03:00:00,1.24024,1.2407299999999999,1.23963,1.24071,1085
2018-03-08 04:00:00,1.24071,1.2409,1.2404,1.24062,690
2018-03-08 05:00:00,1.24066,1.24102,1.24032,1.2403899999999999,1048
2018-03-08 06:00:00,1.2403899999999999,1.2409299999999999,1.2394,1.23968,1526
2018-03-08 07:00:00,1.23973,1.2413,1.23937,1.24116,2677
2018-03-08 08:00:00,1.24118,1.2415,1.23906,1.23927,3626
2018-03-08 09:00:00,1.2392299999999998,1.23942,1.2378,1.2383,3085
2018-03-08 10:00:00,1.2382600000000001,1.23898,1.23774,1.23789,2249
2018-03-08 11:00:00,1.23784,1.2378799999999999,1.23688,1.2378200000000001,2194
2018-03-08 12:00:00,1.23784,1.24315,1.23732,1.2409999999999999,7700
2018-03-08 13:00:00,1.24099,1.24465,1.23845,1.24024,14755
2018-03-08 14:00:00,1.24025,1.24048,1.23498,1.2351,9149
2018-03-08 15:00:00,1.2351,1.23557,1.23244,1.23276,6547
2018-03-08 16:00:00,1.23276,1.2337,1.23042,1.23138,5092
2018-03-08 17:00:00,1.23135,1.23224,1.23114,1.23185,2344
2018-03-08 18:00:00,1.23183,1.23196,1.23068,1.2314,1724
2018-03-08 19:00:00,1.2314,1.23196,1.2297799999999999,1.2305,3625
2018-03-08 20:00:00,1.23044,1.23139,1.23014,1.2313399999999999,2798
2018-03-08 21:00:00,1.23136,1.23148,1.23096,1.23122,1465
2018-03-08 22:00:00,1.23114,1.23189,1.23099,1.23128,1382
2018-03-08 23:00:00,1.23124,1.23156,1.23046,1.2307,1457
2018-03-09 00:00:00,1.23076,1.23163,1.2302799999999998,1.23099,2511
2018-03-09 01:00:00,1.23098,1.23101,1.2295,1.22984,3386
2018-03-09 02:00:00,1.22986,1.2313,1.2297,1.23104,1455
2018-03-09 03:00:00,1.23108,1.2313,1.23076,1.2310299999999998,1041
2018-03-09 04:00:00,1.23102,1.2314200000000002,1.23078,1.23138,873
2018-03-09 05:00:00,1.23134,1.23176,1.23114,1.23154,854
2018-03-09 06:00:00,1.23154,1.23216,1.23139,1.23214,1336
2018-03-09 07:00:00,1.23214,1.23219,1.23109,1.2318,2718
2018-03-09 08:00:00,1.23185,1.23214,1.2294200000000002,1.23061,2929
2018-03-09 09:00:00,1.23066,1.23182,1.2299,1.2302,2627
2018-03-09 10:00:00,1.2301799999999998,1.23068,1.2292299999999998,1.22943,2446
2018-03-09 11:00:00,1.22944,1.23048,1.2290299999999998,1.22983,1805
2018-03-09 12:00:00,1.2298,1.23022,1.22928,1.22956,1865
2018-03-09 13:00:00,1.22954,1.23137,1.22728,1.22937,12411
2018-03-09 14:00:00,1.22935,1.23134,1.22911,1.2312,6401
2018-03-09 15:00:00,1.2312,1.23346,1.23054,1.2319,5754
2018-03-09 16:00:00,1.2319,1.23304,1.23166,1.23246,2974
2018-03-09 17:00:00,1.23248,1.233,1.2316200000000002,1.23178,2028
2018-03-09 18:00:00,1.23182,1.23212,1.23108,1.23126,1737
2018-03-09 19:00:00,1.23128,1.23194,1.23109,1.23148,1171
2018-03-09 20:00:00,1.23148,1.23179,1.2302799999999998,1.23068,2002
2018-03-09 21:00:00,1.23068,1.23095,1.23034,1.23059,935
2018-03-11 21:00:00,1.23138,1.23156,1.23076,1.23112,195
2018-03-11 22:00:00,1.23108,1.23144,1.2306700000000002,1.23108,639
2018-03-11 23:00:00,1.23108,1.23138,1.23063,1.23082,811
2018-03-12 00:00:00,1.23082,1.23139,1.2307,1.2311,1340
2018-03-12 01:00:00,1.23109,1.23188,1.2306,1.2317,1539
2018-03-12 02:00:00,1.23166,1.23232,1.23158,1.23217,938
2018-03-12 03:00:00,1.23214,1.23234,1.23194,1.23232,540
2018-03-12 04:00:00,1.23232,1.23262,1.23204,1.23252,768
2018-03-12 05:00:00,1.23252,1.23256,1.23182,1.23196,941
2018-03-12 06:00:00,1.23196,1.23238,1.23146,1.23229,922
2018-03-12 07:00:00,1.23227,1.2340799999999998,1.2316200000000002,1.23376,3043
2018-03-12 08:00:00,1.23372,1.23397,1.23226,1.2334200000000002,2641
2018-03-12 09:00:00,1.2334,1.2335,1.2312,1.2312,1857
2018-03-12 10:00:00,1.23124,1.23156,1.2307,1.23124,1661
2018-03-12 11:00:00,1.2312299999999998,1.2312299999999998,1.22904,1.2292,2482
2018-03-12 12:00:00,1.2292,1.23024,1.22908,1.23013,2548
2018-03-12 13:00:00,1.2300799999999998,1.231,1.22944,1.23081,2256
2018-03-12 14:00:00,1.23082,1.2321,1.23068,1.23207,3133
2018-03-12 15:00:00,1.2321,1.23266,1.23172,1.23184,2863
2018-03-12 16:00:00,1.23182,1.23246,1.23107,1.23192,2057
2018-03-12 17:00:00,1.23187,1.23357,1.23156,1.23294,1185
2018-03-12 18:00:00,1.23294,1.23456,1.23278,1.23372,1542
2018-03-12 19:00:00,1.23372,1.23404,1.23326,1.23392,932
2018-03-12 20:00:00,1.23396,1.23412,1.23344,1.23347,398
2018-03-12 21:00:00,1.23395,1.23395,1.23336,1.23344,750
2018-03-12 22:00:00,1.2334200000000002,1.23373,1.23333,1.23334,330
2018-03-12 23:00:00,1.23338,1.234,1.23331,1.23388,499
2018-03-13 00:00:00,1.23384,1.23454,1.23349,1.23404,1401
2018-03-13 01:00:00,1.23404,1.2341799999999998,1.23367,1.23392,633
2018-03-13 02:00:00,1.23397,1.23404,1.23332,1.2334200000000002,708
